Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Workout_Intensity,Calories_per_Min,HRR,BMI_Category,Hydration_per_Kg
48,Male,69.2,1.76,181.0,112.0,72.0,0.66,231.0,Pilates,19.7,2.0,2,Beginner,22.4,0.619,5.833,109.0,Normal,0.029
26,Female,51.4,1.67,190.0,112.0,62.0,0.89,208.0,Pilates,19.4,2.1,4,Intermediate,18.5,0.589,3.895,128.0,Normal,0.041
39,Male,90.7,1.79,175.0,112.0,72.0,0.57,243.0,Pilates,23.9,2.6,3,Beginner,28.4,0.64,7.105,103.0,Overweight,0.029
33,Female,72.8,1.62,190.0,137.0,73.0,0.73,409.0,Tennis,35.3,2.4,4,Intermediate,27.8,0.721,9.338,117.0,Overweight,0.033
61,Non-binary,72.0,1.81,160.0,126.0,73.0,0.62,481.0,HIIT,24.0,2.2,4,Intermediate,21.9,0.788,12.93,87.0,Normal,0.031
22,Female,71.0,1.68,206.0,139.0,67.0,0.89,417.0,Tennis,26.7,2.3,3,Advanced,25.1,0.675,7.809,139.0,Overweight,0.032
18,Female,98.7,1.75,210.0,146.0,67.0,0.84,536.0,Running,40.0,3.0,4,Intermediate,32.4,0.695,10.635,143.0,Obese,0.03
54,Female,56.5,1.64,167.0,115.0,70.0,0.96,373.0,Running,23.3,1.9,5,Advanced,20.9,0.689,6.476,97.0,Normal,0.034
34,Male,101.6,1.82,183.0,140.0,73.0,0.57,559.0,CrossFit,21.2,2.9,4,Intermediate,30.7,0.765,16.345,110.0,Obese,0.029
53,Male,62.4,1.71,160.0,124.0,74.0,0.77,520.0,Running,18.3,2.2,4,Intermediate,21.3,0.775,11.255,86.0,Normal,0.035
57,Female,49.4,1.6,162.0,109.0,66.0,0.81,262.0,Running,20.4,2.0,4,Advanced,19.4,0.673,5.391,96.0,Normal,0.04
21,Male,58.3,1.72,198.0,120.0,71.0,1.01,255.0,Yoga,6.3,2.3,4,Advanced,19.7,0.606,4.208,127.0,Normal,0.039
40,Male,70.9,1.72,186.0,143.0,68.0,0.63,397.0,Rowing,18.0,2.4,4,Intermediate,24.1,0.769,10.503,118.0,Normal,0.034
54,Female,48.4,1.5,163.0,134.0,74.0,0.58,300.0,Running,30.6,1.9,2,Beginner,21.5,0.822,8.621,89.0,Normal,0.039
30,Male,60.5,1.72,191.0,128.0,64.0,0.67,304.0,Aerobics,16.7,2.1,4,Intermediate,20.4,0.67,7.562,127.0,Normal,0.035
34,Female,75.7,1.74,180.0,136.0,82.0,0.55,287.0,Strength Training,28.2,2.3,4,Beginner,25.0,0.756,8.697,98.0,Overweight,0.03
23,Female,52.8,1.69,201.0,155.0,67.0,0.62,334.0,Rowing,18.4,2.0,4,Intermediate,18.5,0.771,8.978,134.0,Normal,0.038
26,Female,61.9,1.62,188.0,156.0,87.0,0.5,318.0,HIIT,27.4,1.9,5,Beginner,23.6,0.83,10.6,101.0,Normal,0.031
40,Male,69.6,1.76,175.0,108.0,70.0,1.04,375.0,Yoga,15.1,2.4,5,Advanced,22.4,0.617,6.01,105.0,Normal,0.034
40,Female,85.2,1.75,180.0,128.0,74.0,0.74,446.0,Strength Training,34.4,2.7,2,Beginner,27.9,0.711,10.045,106.0,Overweight,0.032
41,Male,67.1,1.72,172.0,136.0,73.0,0.64,427.0,CrossFit,14.3,2.3,4,Intermediate,22.6,0.791,11.12,99.0,Normal,0.034
30,Female,92.3,1.73,196.0,117.0,69.0,0.65,258.0,Yoga,34.2,2.8,4,Intermediate,30.9,0.597,6.615,127.0,Obese,0.03
31,Male,56.8,1.67,194.0,141.0,78.0,0.51,226.0,Tennis,15.0,2.0,3,Beginner,20.3,0.727,7.386,116.0,Normal,0.035
19,Female,67.1,1.63,192.0,116.0,75.0,0.69,245.0,Walking,29.1,2.2,4,Intermediate,25.1,0.604,5.918,117.0,Overweight,0.033
30,Female,48.4,1.52,199.0,147.0,83.0,0.58,202.0,Aerobics,28.2,1.8,4,Beginner,20.9,0.739,5.805,116.0,Normal,0.037
28,Female,86.4,1.63,193.0,122.0,75.0,0.64,273.0,Yoga,40.0,2.5,3,Beginner,32.6,0.632,7.109,118.0,Obese,0.029
23,Female,78.7,1.69,192.0,156.0,70.0,0.51,413.0,Rowing,35.7,2.5,3,Beginner,27.7,0.812,13.497,122.0,Overweight,0.032
29,Female,75.9,1.69,194.0,118.0,63.0,0.7,232.0,Yoga,31.5,2.3,4,Intermediate,26.6,0.608,5.524,131.0,Overweight,0.03
18,Female,51.1,1.66,205.0,170.0,71.0,0.73,400.0,Running,19.3,1.9,4,Beginner,18.5,0.829,9.132,134.0,Normal,0.037
48,Male,73.6,1.82,174.0,122.0,72.0,0.71,352.0,Soccer,17.5,2.2,3,Intermediate,22.1,0.701,8.263,102.0,Normal,0.03
38,Female,81.1,1.71,189.0,154.0,74.0,0.59,449.0,CrossFit,35.2,2.5,4,Intermediate,27.6,0.815,12.684,115.0,Overweight,0.031
40,Female,64.8,1.59,185.0,123.0,63.0,0.65,271.0,Running,29.5,2.1,4,Intermediate,25.8,0.665,6.949,122.0,Overweight,0.032
20,Male,59.2,1.78,193.0,145.0,77.0,0.52,221.0,Running,12.1,1.9,2,Beginner,18.6,0.751,7.083,116.0,Normal,0.032
26,Female,63.0,1.72,187.0,107.0,71.0,0.9,306.0,Walking,22.6,2.2,2,Intermediate,21.4,0.572,5.667,116.0,Normal,0.035
30,Female,75.2,1.62,200.0,119.0,58.0,1.13,418.0,Pilates,32.2,2.5,2,Advanced,28.7,0.595,6.165,142.0,Overweight,0.033
36,Female,59.0,1.65,185.0,149.0,71.0,0.51,287.0,HIIT,28.9,2.2,2,Beginner,21.6,0.805,9.379,114.0,Normal,0.037
42,Male,74.6,1.88,171.0,127.0,73.0,0.58,321.0,Soccer,16.5,2.5,3,Beginner,21.0,0.743,9.224,98.0,Normal,0.034
28,Female,62.2,1.71,198.0,127.0,72.0,0.6,211.0,Walking,24.0,2.1,5,Beginner,21.3,0.641,5.861,126.0,Normal,0.034
45,Male,74.7,1.69,168.0,131.0,76.0,0.62,513.0,CrossFit,22.5,2.3,4,Intermediate,26.0,0.78,13.79,92.0,Overweight,0.031
30,Male,83.2,1.74,198.0,149.0,69.0,1.0,723.0,Rowing,15.6,2.4,4,Advanced,27.3,0.753,12.05,129.0,Overweight,0.029
20,Male,87.8,1.74,202.0,151.0,77.0,0.56,322.0,Strength Training,24.2,2.5,2,Beginner,29.1,0.748,9.583,125.0,Overweight,0.028
47,Male,76.5,1.72,175.0,104.0,67.0,1.02,410.0,Pilates,19.1,2.3,5,Advanced,25.7,0.594,6.699,108.0,Overweight,0.03
24,Male,78.8,1.8,194.0,123.0,82.0,0.53,217.0,Pilates,18.5,2.2,3,Beginner,24.2,0.634,6.824,112.0,Normal,0.028
18,Male,79.5,1.78,210.0,161.0,74.0,0.86,692.0,Cycling,17.9,2.4,5,Intermediate,25.2,0.767,13.411,136.0,Overweight,0.03
18,Female,90.0,1.78,206.0,162.0,69.0,0.71,470.0,Running,36.4,2.5,4,Beginner,28.4,0.786,11.033,137.0,Overweight,0.028
38,Female,57.9,1.6,174.0,128.0,72.0,0.51,212.0,Running,30.3,2.0,2,Beginner,22.7,0.736,6.928,102.0,Normal,0.035
27,Female,47.1,1.57,185.0,128.0,66.0,0.79,248.0,Aerobics,17.5,1.9,4,Intermediate,19.1,0.692,5.232,119.0,Normal,0.04
40,Male,76.0,1.84,173.0,136.0,65.0,0.91,667.0,Running,16.3,2.3,4,Intermediate,22.5,0.786,12.216,108.0,Normal,0.03
59,Female,83.3,1.63,160.0,113.0,78.0,0.66,373.0,Boxing,40.0,2.3,4,Intermediate,31.3,0.706,9.419,82.0,Obese,0.028
18,Male,67.3,1.76,208.0,170.0,67.0,0.55,373.0,HIIT,17.3,2.3,4,Beginner,21.8,0.817,11.303,141.0,Normal,0.034
43,Female,65.7,1.68,167.0,112.0,74.0,0.82,406.0,Boxing,28.1,2.0,5,Intermediate,23.3,0.671,8.252,93.0,Normal,0.03
24,Male,63.3,1.64,198.0,168.0,74.0,0.53,354.0,HIIT,17.4,2.0,3,Beginner,23.4,0.848,11.132,124.0,Normal,0.032
30,Female,52.2,1.68,194.0,159.0,76.0,0.5,246.0,CrossFit,21.9,1.8,2,Beginner,18.5,0.82,8.2,118.0,Normal,0.034
63,Female,67.8,1.7,160.0,118.0,78.0,0.6,297.0,Strength Training,33.2,2.0,3,Beginner,23.5,0.738,8.25,82.0,Normal,0.029
32,Male,64.8,1.71,192.0,167.0,78.0,0.5,373.0,HIIT,15.7,1.9,3,Beginner,22.2,0.87,12.433,114.0,Normal,0.029
18,Male,77.4,1.79,193.0,150.0,74.0,0.74,487.0,Cycling,20.8,2.3,2,Beginner,24.2,0.777,10.968,119.0,Normal,0.03
25,Male,95.8,1.83,188.0,151.0,76.0,0.5,499.0,CrossFit,23.9,2.9,4,Beginner,28.7,0.803,16.633,112.0,Overweight,0.03
35,Male,76.8,1.85,185.0,126.0,69.0,0.68,338.0,Tennis,16.5,2.4,3,Intermediate,22.5,0.681,8.284,116.0,Normal,0.031
30,Female,58.3,1.53,188.0,135.0,70.0,0.7,307.0,Soccer,30.2,2.1,3,Beginner,25.0,0.718,7.31,118.0,Overweight,0.036
18,Male,69.7,1.67,192.0,134.0,62.0,0.78,352.0,Running,19.0,2.5,5,Intermediate,25.0,0.698,7.521,130.0,Overweight,0.036
50,Male,77.9,1.72,165.0,126.0,76.0,0.72,447.0,Tennis,21.1,2.4,5,Beginner,26.4,0.764,10.347,89.0,Overweight,0.031
39,Female,57.9,1.66,174.0,122.0,63.0,1.11,482.0,Soccer,24.0,2.0,5,Advanced,20.9,0.701,7.237,111.0,Normal,0.035
33,Female,54.0,1.56,179.0,100.0,59.0,1.16,312.0,Yoga,21.6,1.9,5,Professional,22.3,0.559,4.483,120.0,Normal,0.035
42,Female,59.6,1.68,171.0,141.0,63.0,0.69,412.0,Rowing,27.4,2.0,3,Beginner,21.1,0.825,9.952,108.0,Normal,0.034
43,Female,55.6,1.73,171.0,121.0,72.0,0.83,353.0,Running,20.6,1.9,4,Intermediate,18.5,0.708,7.088,99.0,Normal,0.034
44,Male,64.0,1.67,186.0,126.0,65.0,0.89,369.0,Running,17.2,2.3,3,Intermediate,22.9,0.677,6.91,121.0,Normal,0.036
30,Male,90.0,1.77,196.0,167.0,69.0,0.54,561.0,CrossFit,24.9,2.7,4,Beginner,28.6,0.852,17.315,127.0,Overweight,0.03
24,Female,64.2,1.68,197.0,164.0,72.0,0.69,413.0,Cycling,24.7,2.3,2,Beginner,22.6,0.832,9.976,125.0,Normal,0.036
23,Female,58.2,1.56,188.0,141.0,71.0,0.71,282.0,Boxing,26.1,2.0,3,Beginner,23.9,0.75,6.62,117.0,Normal,0.034
41,Male,90.0,1.81,181.0,125.0,59.0,0.88,585.0,Aerobics,19.8,2.8,4,Advanced,27.6,0.691,11.08,122.0,Overweight,0.031
31,Female,60.1,1.71,195.0,146.0,72.0,0.55,226.0,Soccer,28.0,2.2,3,Beginner,20.6,0.749,6.848,123.0,Normal,0.037
28,Male,102.2,1.9,182.0,136.0,71.0,0.54,436.0,Strength Training,25.0,2.8,3,Beginner,28.4,0.747,13.457,111.0,Overweight,0.027
27,Female,58.4,1.6,187.0,137.0,67.0,0.67,266.0,Soccer,30.6,1.9,4,Beginner,22.8,0.733,6.617,120.0,Normal,0.033
36,Female,59.1,1.5,189.0,138.0,76.0,0.76,314.0,Strength Training,32.7,2.1,2,Beginner,26.3,0.73,6.886,113.0,Overweight,0.036
49,Female,55.6,1.67,171.0,151.0,85.0,0.54,299.0,CrossFit,27.8,2.1,3,Beginner,19.9,0.883,9.228,86.0,Normal,0.038
18,Male,80.5,1.73,204.0,141.0,64.0,1.03,590.0,Tennis,15.5,2.6,4,Advanced,26.8,0.691,9.547,140.0,Overweight,0.032
51,Male,77.3,1.84,164.0,127.0,79.0,0.9,659.0,Running,16.2,2.7,5,Intermediate,22.8,0.774,12.204,85.0,Normal,0.035
61,Female,74.2,1.6,163.0,113.0,59.0,0.86,489.0,Tennis,33.5,2.5,3,Advanced,28.8,0.693,9.477,104.0,Overweight,0.034
37,Female,53.5,1.68,179.0,156.0,74.0,0.5,287.0,CrossFit,25.8,1.8,2,Beginner,18.9,0.872,9.567,105.0,Normal,0.034
19,Male,99.6,1.83,205.0,127.0,67.0,0.74,355.0,Yoga,17.3,3.1,4,Intermediate,29.7,0.62,7.995,138.0,Overweight,0.031
48,Female,59.9,1.63,170.0,142.0,72.0,0.63,429.0,CrossFit,30.0,2.1,5,Intermediate,22.7,0.835,11.349,98.0,Normal,0.035
34,Non-binary,67.8,1.73,177.0,157.0,74.0,0.5,337.0,CrossFit,23.7,2.0,3,Beginner,22.7,0.887,11.233,103.0,Normal,0.029
34,Non-binary,63.4,1.66,186.0,109.0,72.0,0.8,243.0,Pilates,22.5,2.2,4,Intermediate,23.1,0.586,5.062,114.0,Normal,0.035
26,Non-binary,79.8,1.78,195.0,148.0,67.0,0.57,306.0,Aerobics,23.1,2.3,3,Beginner,25.3,0.759,8.947,128.0,Overweight,0.029
37,Male,80.0,1.82,178.0,155.0,78.0,0.83,653.0,Running,22.9,2.5,2,Beginner,24.3,0.871,13.112,100.0,Normal,0.031
32,Male,64.9,1.71,190.0,152.0,66.0,0.6,370.0,CrossFit,15.6,2.1,5,Intermediate,22.3,0.8,10.278,124.0,Normal,0.032
26,Female,56.2,1.54,184.0,155.0,73.0,0.5,283.0,HIIT,27.8,1.9,4,Beginner,23.6,0.842,9.433,111.0,Normal,0.034
34,Male,100.2,1.75,177.0,139.0,80.0,0.61,488.0,Running,27.6,2.7,5,Beginner,32.8,0.785,13.333,97.0,Obese,0.027
30,Male,85.9,1.7,192.0,117.0,68.0,0.87,343.0,Pilates,25.5,2.4,5,Intermediate,29.8,0.609,6.571,124.0,Overweight,0.028
23,Male,71.4,1.63,201.0,147.0,77.0,0.75,519.0,Swimming,18.7,2.3,5,Intermediate,26.9,0.731,11.533,124.0,Overweight,0.032
29,Male,87.2,1.8,199.0,147.0,72.0,0.78,670.0,Rowing,17.9,2.8,3,Intermediate,27.1,0.739,14.316,127.0,Overweight,0.032
19,Male,65.9,1.67,207.0,168.0,69.0,0.7,494.0,CrossFit,14.0,2.4,4,Advanced,23.7,0.812,11.762,138.0,Normal,0.036
30,Male,59.3,1.79,194.0,151.0,69.0,0.57,250.0,Strength Training,12.3,1.9,2,Beginner,18.6,0.778,7.31,125.0,Normal,0.032
37,Female,83.0,1.63,182.0,151.0,82.0,0.53,423.0,Rowing,40.0,2.6,5,Beginner,31.2,0.83,13.302,100.0,Obese,0.031
46,Male,65.8,1.72,169.0,104.0,57.0,0.83,276.0,Pilates,17.8,2.3,5,Advanced,22.2,0.615,5.542,112.0,Normal,0.035
27,Male,71.3,1.7,195.0,139.0,74.0,0.5,256.0,Running,22.9,2.0,3,Beginner,24.6,0.713,8.533,121.0,Normal,0.028
38,Female,58.1,1.57,188.0,117.0,72.0,0.67,200.0,Pilates,30.8,1.9,3,Beginner,23.6,0.622,4.975,116.0,Normal,0.033
28,Male,82.3,1.79,194.0,147.0,72.0,0.72,541.0,Rowing,19.1,2.4,2,Beginner,25.6,0.758,12.523,122.0,Overweight,0.029
33,Male,103.2,1.78,197.0,159.0,73.0,0.64,686.0,HIIT,29.1,2.7,3,Intermediate,32.4,0.807,17.865,124.0,Obese,0.026
43,Male,96.6,1.78,181.0,132.0,64.0,0.65,598.0,Rowing,27.0,2.8,4,Intermediate,30.6,0.729,15.333,117.0,Obese,0.029
48,Female,66.5,1.53,173.0,143.0,79.0,0.59,343.0,Swimming,37.5,2.0,3,Beginner,28.3,0.827,9.689,94.0,Overweight,0.03
31,Female,53.8,1.71,186.0,120.0,55.0,1.08,372.0,Running,15.4,1.9,5,Professional,18.5,0.645,5.741,131.0,Normal,0.035
37,Male,94.0,1.77,193.0,149.0,86.0,0.55,354.0,Running,25.2,2.5,2,Beginner,29.9,0.772,10.727,107.0,Overweight,0.027
28,Female,77.3,1.63,188.0,143.0,78.0,0.6,338.0,Running,36.4,2.5,3,Beginner,29.2,0.761,9.389,110.0,Overweight,0.032
24,Female,89.3,1.62,203.0,153.0,70.0,0.61,373.0,Aerobics,40.0,2.5,5,Beginner,34.0,0.754,10.191,133.0,Obese,0.028
18,Female,88.6,1.74,208.0,123.0,60.0,0.75,315.0,Walking,31.0,2.4,4,Intermediate,29.1,0.591,7.0,148.0,Overweight,0.027
26,Female,86.4,1.76,196.0,150.0,71.0,0.58,358.0,Soccer,36.5,2.6,3,Beginner,28.0,0.765,10.287,125.0,Overweight,0.03
37,Female,71.7,1.67,175.0,109.0,68.0,0.78,262.0,Yoga,32.0,2.1,4,Intermediate,25.7,0.623,5.598,107.0,Overweight,0.029
20,Male,87.1,1.74,205.0,128.0,77.0,0.5,211.0,Yoga,24.5,2.3,4,Beginner,28.9,0.624,7.033,128.0,Overweight,0.026
18,Female,88.1,1.73,204.0,157.0,69.0,0.68,644.0,CrossFit,34.8,2.7,2,Intermediate,29.3,0.77,15.784,135.0,Overweight,0.031
48,Male,68.6,1.88,169.0,148.0,74.0,0.65,473.0,Running,15.0,2.3,4,Beginner,19.4,0.876,12.128,95.0,Normal,0.034
45,Male,77.3,1.84,172.0,136.0,68.0,0.76,495.0,Cycling,21.1,2.6,3,Beginner,22.8,0.791,10.855,104.0,Normal,0.034
33,Female,72.9,1.61,190.0,154.0,70.0,0.97,735.0,Running,29.2,2.3,5,Intermediate,28.2,0.811,12.629,120.0,Overweight,0.032
18,Non-binary,49.2,1.63,208.0,136.0,64.0,0.8,258.0,Boxing,10.0,1.8,4,Advanced,18.5,0.654,5.375,144.0,Normal,0.037
30,Male,73.5,1.7,184.0,123.0,66.0,0.7,340.0,Boxing,16.3,2.1,5,Intermediate,25.4,0.668,8.095,118.0,Overweight,0.029
27,Female,79.5,1.68,188.0,143.0,83.0,0.5,307.0,Running,33.9,2.6,3,Beginner,28.1,0.761,10.233,105.0,Overweight,0.033
31,Female,58.5,1.65,196.0,140.0,75.0,0.59,230.0,Strength Training,22.8,1.9,2,Beginner,21.4,0.714,6.497,121.0,Normal,0.032
39,Male,66.8,1.61,186.0,143.0,63.0,0.59,430.0,HIIT,20.1,2.2,3,Intermediate,25.7,0.769,12.147,123.0,Overweight,0.033
34,Male,96.5,1.98,177.0,120.0,83.0,0.57,258.0,Yoga,19.8,3.0,2,Beginner,24.6,0.678,7.544,94.0,Normal,0.031
18,Male,69.6,1.6,192.0,114.0,57.0,0.67,236.0,Walking,18.3,2.2,4,Intermediate,27.3,0.594,5.871,135.0,Overweight,0.032
50,Male,80.2,1.78,174.0,125.0,65.0,0.95,592.0,Running,20.0,2.6,4,Advanced,25.3,0.718,10.386,109.0,Overweight,0.032
38,Female,63.2,1.68,187.0,140.0,65.0,1.16,691.0,Rowing,25.7,2.3,4,Advanced,22.5,0.749,9.928,122.0,Normal,0.036
54,Male,59.3,1.67,171.0,131.0,76.0,0.69,441.0,CrossFit,15.8,2.2,4,Intermediate,21.3,0.766,10.652,95.0,Normal,0.037
20,Male,84.4,1.76,195.0,113.0,78.0,0.78,304.0,Yoga,21.0,2.6,4,Intermediate,27.3,0.579,6.496,117.0,Overweight,0.031
33,Female,89.5,1.69,195.0,170.0,80.0,0.5,509.0,HIIT,37.8,2.5,4,Beginner,31.5,0.872,16.967,115.0,Obese,0.028
25,Female,83.7,1.66,190.0,132.0,58.0,0.88,556.0,Strength Training,31.3,2.3,3,Advanced,30.3,0.695,10.53,132.0,Obese,0.027
43,Female,83.7,1.85,168.0,113.0,73.0,0.79,450.0,Aerobics,30.9,2.8,3,Intermediate,24.5,0.673,9.494,95.0,Normal,0.033
19,Non-binary,58.3,1.55,197.0,145.0,74.0,0.66,301.0,Tennis,24.4,1.9,5,Beginner,24.1,0.736,7.601,123.0,Normal,0.033
49,Male,97.0,1.84,179.0,105.0,75.0,0.67,372.0,Walking,23.3,2.7,3,Intermediate,28.6,0.587,9.254,104.0,Overweight,0.028
21,Female,82.5,1.67,205.0,122.0,68.0,0.73,304.0,Pilates,34.8,2.6,4,Intermediate,29.8,0.595,6.941,137.0,Overweight,0.032
42,Female,63.3,1.68,183.0,127.0,68.0,0.87,405.0,Boxing,27.5,2.1,3,Intermediate,22.5,0.694,7.759,115.0,Normal,0.033
27,Male,83.2,1.74,190.0,130.0,61.0,0.68,393.0,Boxing,22.4,2.7,4,Intermediate,27.4,0.684,9.632,129.0,Overweight,0.032
24,Male,80.9,1.79,205.0,157.0,68.0,0.71,461.0,Strength Training,20.9,2.5,3,Beginner,25.2,0.766,10.822,137.0,Overweight,0.031
18,Male,97.3,1.78,200.0,125.0,69.0,0.53,257.0,Walking,27.8,2.5,4,Beginner,30.7,0.625,8.082,131.0,Obese,0.026
48,Female,70.9,1.74,163.0,116.0,79.0,0.5,247.0,Aerobics,27.9,2.2,4,Beginner,23.4,0.712,8.233,84.0,Normal,0.031
21,Male,63.1,1.73,206.0,147.0,70.0,0.71,316.0,Running,15.6,2.0,3,Beginner,21.0,0.714,7.418,136.0,Normal,0.032
22,Male,100.4,1.85,200.0,158.0,78.0,0.58,525.0,Swimming,26.9,2.7,4,Beginner,29.2,0.79,15.086,122.0,Overweight,0.027
44,Female,48.4,1.62,185.0,124.0,73.0,0.73,256.0,Running,21.5,1.7,2,Intermediate,18.5,0.67,5.845,112.0,Normal,0.035
18,Male,69.7,1.82,205.0,128.0,72.0,0.67,209.0,Yoga,9.9,2.0,3,Beginner,21.1,0.624,5.199,133.0,Normal,0.029
51,Male,80.7,1.72,161.0,110.0,66.0,0.8,458.0,Running,22.7,2.3,5,Advanced,27.2,0.683,9.542,95.0,Overweight,0.029
19,Female,63.8,1.67,199.0,162.0,71.0,0.61,396.0,Swimming,27.1,2.0,2,Beginner,22.8,0.814,10.82,128.0,Normal,0.031
38,Male,101.5,1.81,173.0,133.0,72.0,0.5,352.0,Aerobics,27.5,3.0,3,Beginner,31.1,0.769,11.733,101.0,Obese,0.03
49,Female,72.0,1.62,173.0,118.0,71.0,0.66,305.0,Tennis,36.8,2.1,3,Intermediate,27.5,0.682,7.702,102.0,Overweight,0.029
28,Male,80.3,1.69,185.0,115.0,69.0,0.59,249.0,Yoga,25.6,2.3,2,Beginner,28.2,0.622,7.034,116.0,Overweight,0.029
37,Male,76.8,1.81,184.0,161.0,61.0,0.62,477.0,Running,17.4,2.5,3,Beginner,23.6,0.875,12.823,123.0,Normal,0.033
65,Male,76.6,1.84,160.0,108.0,87.0,0.58,207.0,Yoga,21.4,2.1,3,Beginner,22.5,0.675,5.948,73.0,Normal,0.027
38,Male,86.0,1.71,184.0,130.0,69.0,1.02,611.0,Aerobics,20.3,2.8,4,Advanced,29.5,0.707,9.984,115.0,Overweight,0.033
25,Male,69.9,1.68,204.0,154.0,70.0,0.56,292.0,Boxing,19.6,2.3,2,Beginner,24.8,0.755,8.69,134.0,Normal,0.033
25,Male,75.2,1.78,197.0,132.0,70.0,0.76,392.0,Tennis,16.9,2.3,4,Intermediate,23.6,0.67,8.596,127.0,Normal,0.031
23,Female,59.3,1.61,199.0,147.0,72.0,0.5,203.0,Boxing,27.5,2.0,3,Beginner,22.9,0.739,6.767,127.0,Normal,0.034
62,Female,77.9,1.68,160.0,122.0,74.0,0.59,335.0,Tennis,37.3,2.5,3,Beginner,27.5,0.762,9.463,86.0,Overweight,0.032
38,Female,64.1,1.58,190.0,126.0,75.0,0.7,205.0,Pilates,30.6,1.9,5,Beginner,25.6,0.663,4.881,115.0,Overweight,0.03
31,Male,49.4,1.61,183.0,143.0,77.0,0.72,347.0,Cycling,13.9,1.8,2,Beginner,19.0,0.781,8.032,106.0,Normal,0.036
25,Female,58.1,1.72,197.0,150.0,79.0,0.61,283.0,Boxing,21.3,1.9,5,Beginner,19.6,0.761,7.732,118.0,Normal,0.033
41,Female,53.0,1.69,179.0,140.0,71.0,0.95,475.0,Cycling,20.3,1.9,4,Intermediate,18.5,0.782,8.333,108.0,Normal,0.036
33,Male,78.3,1.73,196.0,122.0,68.0,0.56,232.0,Pilates,23.3,2.1,2,Beginner,26.3,0.622,6.905,128.0,Overweight,0.027
24,Female,82.6,1.72,200.0,136.0,76.0,0.81,510.0,Soccer,31.6,2.5,5,Intermediate,28.0,0.68,10.494,124.0,Overweight,0.03
26,Female,45.5,1.57,190.0,134.0,68.0,0.99,299.0,Boxing,18.7,2.0,3,Advanced,18.5,0.705,5.034,122.0,Normal,0.044
31,Female,57.5,1.59,182.0,110.0,60.0,0.99,283.0,Pilates,21.6,2.2,3,Advanced,22.7,0.604,4.764,122.0,Normal,0.038
19,Male,95.4,1.8,201.0,161.0,68.0,0.5,448.0,Rowing,25.7,2.4,4,Beginner,29.5,0.801,14.933,133.0,Overweight,0.025
51,Male,84.2,1.81,167.0,136.0,62.0,1.02,378.0,Yoga,16.2,2.7,5,Professional,25.8,0.814,6.176,105.0,Overweight,0.032
21,Female,67.4,1.6,194.0,135.0,68.0,0.74,359.0,Tennis,26.6,2.1,2,Intermediate,26.4,0.696,8.086,126.0,Overweight,0.031
55,Male,63.5,1.78,170.0,120.0,78.0,0.82,343.0,Tennis,19.0,2.3,4,Intermediate,20.0,0.706,6.972,92.0,Normal,0.036
35,Female,65.7,1.66,194.0,131.0,75.0,0.87,411.0,Boxing,27.0,2.1,3,Intermediate,23.9,0.675,7.874,119.0,Normal,0.032
31,Male,86.4,1.81,198.0,143.0,69.0,0.72,416.0,Aerobics,17.0,2.5,3,Intermediate,26.5,0.722,9.63,129.0,Overweight,0.029
